Date,Open,High,Low,Close,Volume
1984-09-07,3.30982,3.35013,3.27016,3.30982,2973601
1984-09-10,3.30982,3.3199,3.23018,3.29032,2307999
1984-09-11,3.3199,3.40994,3.3199,3.35013,5442399
1984-09-12,3.35013,3.36996,3.25001,3.25001,4754400
1984-09-13,3.4301,3.43985,3.4301,3.4301,7404801
1984-09-14,3.43985,3.5598,3.43985,3.48016,8816800
1984-09-17,3.5702,3.61994,3.5702,3.5702,6884000
1984-09-18,3.5702,3.59978,3.43985,3.43985,3475201
1984-09-19,3.43985,3.48016,3.36996,3.36996,3796000
1984-09-20,3.38004,3.40994,3.38004,3.38004,2363201
1984-09-21,3.38004,3.48016,3.30982,3.35013,3565599
1984-09-24,3.35013,3.36996,3.3199,3.3199,2821601
1984-09-25,3.30982,3.30982,3.25001,3.25001,5956801
1984-09-26,3.25001,3.39954,3.21035,3.21035,3963201
1984-09-27,3.21035,3.23018,3.21035,3.21035,3783200
1984-09-28,3.21035,3.21035,3.07025,3.12974,8335999
1984-10-01,3.12031,3.12031,3.06017,3.06017,3492000
1984-10-02,3.08,3.18987,3.08,3.08,4223199
1984-10-03,3.12974,3.1798,3.12974,3.12974,4300801
1984-10-04,3.16939,3.18987,3.16939,3.16939,4481600
1984-10-05,3.16939,3.16939,3.08,3.10015,3484801
1984-10-08,3.10015,3.12031,3.10015,3.10015,1677600
1984-10-09,3.10015,3.12031,3.07025,3.07025,4473600
1984-10-10,3.07025,3.07025,2.97988,2.97988,13030400
1984-10-11,2.97988,3.06017,2.96005,2.96005,6527200
1984-10-12,2.96005,2.97988,2.80987,2.83002,9492801
1984-10-15,2.98963,3.01986,2.98963,2.98963,8688000
1984-10-16,2.98963,3.00003,2.97988,2.97988,4215201
1984-10-17,3.10015,3.12031,3.10015,3.10015,5594401
1984-10-18,3.18987,3.21035,3.18987,3.18987,8827200
1984-10-19,3.18987,3.40994,3.1798,3.18987,11647201
1984-10-22,3.18987,3.23993,3.16939,3.16939,4098401
1984-10-23,3.23993,3.27016,3.23993,3.23993,6658401
1984-10-24,3.27016,3.30982,3.27016,3.27016,5964801
1984-10-25,3.27016,3.27016,3.14989,3.14989,5648801
1984-10-26,3.14989,3.14989,3.06017,3.07025,4101600
1984-10-29,3.08,3.10015,3.08,3.08,1808800
1984-10-30,3.12031,3.14989,3.12031,3.12031,2664000
1984-10-31,3.12031,3.14989,3.10015,3.10015,2151201
1984-11-01,3.12031,3.14989,3.12031,3.12031,1680000
1984-11-02,3.12031,3.12974,3.08,3.10015,988800
1984-11-05,3.10015,3.16939,3.08,3.08,3763201
1984-11-06,3.27016,3.29032,3.27016,3.27016,8047201
1984-11-07,3.27016,3.29032,3.21035,3.21035,8269600
1984-11-08,3.21035,3.21035,3.08,3.08,3147200
1984-11-09,3.08,3.10015,2.87033,2.90024,10504801
1984-11-12,3.00003,3.01986,3.00003,3.00003,4044800
1984-11-13,3.00003,3.07025,2.93015,2.93015,4524001
1984-11-14,2.96005,2.98963,2.96005,2.96005,3726398
1984-11-15,2.96005,2.98963,2.96005,2.96005,3807199
1984-11-16,2.96005,3.00003,2.88041,2.90024,5920001
1984-11-19,2.90024,2.92007,2.7299,2.7299,8320799
1984-11-20,2.81995,2.83002,2.81995,2.81995,9401599
1984-11-21,2.88041,2.90024,2.88041,2.88041,6383199
1984-11-23,2.92007,3.00003,2.92007,2.96005,4895999
1984-11-26,2.98963,2.98963,2.98963,2.98963,3594401
1984-11-27,3.07025,3.10015,3.07025,3.07025,4550400
1984-11-28,3.23018,3.30982,3.23018,3.23018,14661602
1984-11-29,3.23018,3.23018,3.16939,3.16939,6245601
1984-11-30,3.16939,3.18987,3.07025,3.08,3882401
1984-12-03,3.08,3.10015,3.04002,3.04002,3500000
1984-12-04,3.10015,3.16939,3.10015,3.10015,4299200
1984-12-05,3.25001,3.25001,3.25001,3.25001,9389601
